capacity,capacity_value,seed,epoch,return,run_id,run_name
50k,50000,0,68,681.7999877929688,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,69,661.2999877929688,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,70,767.7000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,71,867.2000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,72,766.7999877929688,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,73,766.0999755859375,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,74,497.70001220703125,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,75,508.6000061035156,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,76,470.8999938964844,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,77,859,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,78,760.5,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,79,765,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,80,939.4000244140625,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,81,891.2999877929688,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,82,532.5,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,83,484.1000061035156,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,84,769.7999877929688,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,85,765.2000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,86,860.7000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,87,864.5999755859375,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,88,947.2000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,89,586.7999877929688,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,90,894.2999877929688,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,91,822.5,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,92,852.7999877929688,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,93,699.5,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,94,886.7000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,95,880.7999877929688,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,96,512.2999877929688,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,97,756.7000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,98,632.7000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,99,712.5999755859375,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,3,0,0,qaulowe0,reacher-hard-v0_3_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,3,1,0.800000011920929,qaulowe0,reacher-hard-v0_3_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,3,2,0,qaulowe0,reacher-hard-v0_3_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,3,3,7.599999904632568,qaulowe0,reacher-hard-v0_3_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
